v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
16502,-80.2966634835325,26.12159121835,substation,230000,60,,FPL,,SRID=4326;POINT(-80.2966634835325 26.12159121835)
29488,-95.6328707852888,29.4756765289393,merge,345000;138000,60,Parish Station;W. A. Parish Electric Generating Station,CenterPoint Energy Houston Electric,,SRID=4326;POINT(-95.6328707852888 29.4756765289393)
10903,-85.7001186572069,37.0777237046594,station,,,,,,SRID=4326;POINT(-85.7001186572069 37.0777237046594)
3538,-87.4722649308959,33.2341143956117,station,,,Holt T.S.,,,SRID=4326;POINT(-87.4722649308959 33.2341143956117)
21319,-98.2607989135802,19.1235427886634,joint,,,,,,SRID=4326;POINT(-98.2607989135802 19.1235427886634)
28300,-82.6657124123645,34.4380519062404,merge,,,Anderson Substation,Duke Energy Carolinas,,SRID=4326;POINT(-82.6657124123645 34.4380519062404)
30899,-77.2296693027737,40.0003286310537,joint,,,,,,SRID=4326;POINT(-77.2296693027737 40.0003286310537)
7829,-93.3745808514029,37.1711493788552,station,,,Brookline Substation,Associated Electric Cooperative,,SRID=4326;POINT(-93.3745808514029 37.1711493788552)
17401,-105.882444224734,37.7063208522659,substation,,,,,,SRID=4326;POINT(-105.882444224734 37.7063208522659)
15706,-104.640766562901,38.3178599902439,substation,,,,,,SRID=4326;POINT(-104.640766562901 38.3178599902439)
22113,-78.8040197407197,42.9960550854453,joint,,,,,,SRID=4326;POINT(-78.8040197407197 42.9960550854453)
9876,-78.1094424607124,35.1870085711385,station,,,Mt. Olive Substation,Carolina Power & Light Company,,SRID=4326;POINT(-78.1094424607124 35.1870085711385)
2637,-90.0399731996128,34.9936949877178,station,,,,,,SRID=4326;POINT(-90.0399731996128 34.9936949877178)
6393,-78.4449025168182,36.5721440168337,substation,,,,,,SRID=4326;POINT(-78.4449025168182 36.5721440168337)
10237,-90.6922937894018,29.5881996514289,substation,230000,,,,,SRID=4326;POINT(-90.6922937894018 29.5881996514289)
23546,-85.878842526808,39.7910254160604,joint,345000,60,,,,SRID=4326;POINT(-85.878842526808 39.7910254160604)
19222,-78.9447523284127,35.6558603076547,joint,230000,,,,,SRID=4326;POINT(-78.9447523284127 35.6558603076547)
508,-111.945221045703,40.8425611975587,sub_station,,,substation,,,SRID=4326;POINT(-111.945221045703 40.8425611975587)
7198,-119.922582588252,36.8448962478793,station,,,Herndon Substation,,,SRID=4326;POINT(-119.922582588252 36.8448962478793)
156,-117.219128718914,32.9180622930279,substation,230000;69000,,Peñasquitos Substation,San Diego Gas & Electric,,SRID=4326;POINT(-117.219128718914 32.9180622930279)
4148,-98.9721401646688,19.3521241634781,sub_station,,,,,,SRID=4326;POINT(-98.9721401646688 19.3521241634781)
23062,-90.8291323284687,38.5640632715082,joint,345000,60,,,,SRID=4326;POINT(-90.8291323284687 38.5640632715082)
26834,-97.4731876033307,32.3831824668737,joint,,,,,,SRID=4326;POINT(-97.4731876033307 32.3831824668737)
7337,-97.4761881282424,35.3812080608805,substation,,,,,,SRID=4326;POINT(-97.4761881282424 35.3812080608805)
6188,-67.656133049599,46.4397249397372,sub_station,,,,,,SRID=4326;POINT(-67.656133049599 46.4397249397372)
8023,-117.504153154249,47.7279652373523,sub_station,,,West Side Substation,Avista,,SRID=4326;POINT(-117.504153154249 47.7279652373523)
14323,-68.3258744332234,49.1930518266137,substation,,,,,,SRID=4326;POINT(-68.3258744332234 49.1930518266137)
14425,-84.6089338253523,45.4214064917174,substation,,,,,,SRID=4326;POINT(-84.6089338253523 45.4214064917174)
5608,-76.7687622659511,35.8510336202935,substation,,,Trowbridge Substation,Virginia Electric & Power Company,,SRID=4326;POINT(-76.7687622659511 35.8510336202935)
25379,-79.8475087934654,43.1854444820513,joint,,,,,,SRID=4326;POINT(-79.8475087934654 43.1854444820513)
25403,-52.847387084486,47.5257447660625,joint,,,,Newfoundland Power,,SRID=4326;POINT(-52.847387084486 47.5257447660625)
2987,-76.4538294628479,39.8644286932112,sub_station,,,Otter Creek Substation,,OTT,SRID=4326;POINT(-76.4538294628479 39.8644286932112)
31073,-117.548218981665,34.0046186503909,joint,,,,,,SRID=4326;POINT(-117.548218981665 34.0046186503909)
14233,-111.880985631966,33.268420399276,substation,,,,,,SRID=4326;POINT(-111.880985631966 33.268420399276)
19467,-88.4375709935862,42.254633809247,joint,345000,60,,,,SRID=4326;POINT(-88.4375709935862 42.254633809247)
18693,-77.9933209191846,35.088534960591,joint,,,,,,SRID=4326;POINT(-77.9933209191846 35.088534960591)
26979,-102.751906323768,32.7109794840135,joint,,,,,,SRID=4326;POINT(-102.751906323768 32.7109794840135)
21542,-119.826049103757,34.4781408826343,joint,,,,,,SRID=4326;POINT(-119.826049103757 34.4781408826343)
23565,-84.2939696645378,33.4765684605749,joint,,,,,,SRID=4326;POINT(-84.2939696645378 33.4765684605749)
30925,-82.1246432660739,38.901435228319,joint,345000,,Kyger - Sporn 345 kV transmission line,,,SRID=4326;POINT(-82.1246432660739 38.901435228319)
23672,-115.078326613888,48.3625586685833,joint,230000,60,,,,SRID=4326;POINT(-115.078326613888 48.3625586685833)
27960,-113.098820972695,53.8105131645826,joint,240000;144000,60,,,,SRID=4326;POINT(-113.098820972695 53.8105131645826)
19085,-75.2588162261538,40.7163103591237,joint,230000,,PPL Power Line,,,SRID=4326;POINT(-75.2588162261538 40.7163103591237)
12669,-100.084708127701,48.8062698934963,sub_station,,,,,,SRID=4326;POINT(-100.084708127701 48.8062698934963)
20648,-80.294544435161,40.5073263908857,joint,345000,,345kV transmission line,,,SRID=4326;POINT(-80.294544435161 40.5073263908857)
18088,-87.7796779374996,32.5464669548085,joint,,,,,,SRID=4326;POINT(-87.7796779374996 32.5464669548085)
5772,-78.6486108532151,43.0005736074925,sub_station,,,,,,SRID=4326;POINT(-78.6486108532151 43.0005736074925)
15609,-82.6851727162261,34.7830434341468,substation,,,,,,SRID=4326;POINT(-82.6851727162261 34.7830434341468)
22263,-78.8071265641299,42.8098620029424,joint,,,,,,SRID=4326;POINT(-78.8071265641299 42.8098620029424)
24433,-83.4100429658186,42.3524863643735,joint,,,,,,SRID=4326;POINT(-83.4100429658186 42.3524863643735)
8809,-97.6302511121471,35.4346951689463,sub_station,,,,,,SRID=4326;POINT(-97.6302511121471 35.4346951689463)
5743,-76.6656445548298,41.861315597049,sub_station,,,,,,SRID=4326;POINT(-76.6656445548298 41.861315597049)
31272,-117.645878331689,49.0839142223148,joint,,,,,,SRID=4326;POINT(-117.645878331689 49.0839142223148)
9233,-87.2568267598739,40.5690515720724,station,,,,,,SRID=4326;POINT(-87.2568267598739 40.5690515720724)
25188,-98.7889266437832,48.1935368006541,joint,,,,,,SRID=4326;POINT(-98.7889266437832 48.1935368006541)
23912,-88.0946703952455,30.7586474628023,joint,115000;230000;115000;230000;115000,60,,,,SRID=4326;POINT(-88.0946703952455 30.7586474628023)
28946,-77.3525536242497,34.7307474672757,merge,,,,,,SRID=4326;POINT(-77.3525536242497 34.7307474672757)
19294,-111.928240160014,41.3079769130452,joint,,,,,,SRID=4326;POINT(-111.928240160014 41.3079769130452)
20009,-77.5372327747078,44.6206406983813,joint,,,,,,SRID=4326;POINT(-77.5372327747078 44.6206406983813)
1397,-77.1823615256347,39.5655741390335,sub_station,,,,,,SRID=4326;POINT(-77.1823615256347 39.5655741390335)
18106,-87.3971599283301,31.4067679845373,joint,,,,,,SRID=4326;POINT(-87.3971599283301 31.4067679845373)
9088,-91.7351938945039,46.1527578174325,sub_station,,,,,,SRID=4326;POINT(-91.7351938945039 46.1527578174325)
30471,-89.6826271544336,40.5409365924372,joint,345000,60,,,,SRID=4326;POINT(-89.6826271544336 40.5409365924372)
19817,-105.203309919449,39.8103195704219,joint,230000,,,,,SRID=4326;POINT(-105.203309919449 39.8103195704219)
5979,-77.6726100592751,43.0539022959789,sub_station,,,Station 80,Rochester Gas & Electric,80,SRID=4326;POINT(-77.6726100592751 43.0539022959789)
6978,-80.6921442596355,36.2051781838771,sub_station,,,,,,SRID=4326;POINT(-80.6921442596355 36.2051781838771)
21845,-71.2808923527655,42.1297976771994,joint,345000,,West Medway - West Walpole 345kV transmission line;Carver - West Walpole 345kV transmission line,New England Power Company,389,SRID=4326;POINT(-71.2808923527655 42.1297976771994)
152,-121.680131585134,49.2368314244295,sub_station,,,Wahleach Substation,BC Hydro,,SRID=4326;POINT(-121.680131585134 49.2368314244295)
17382,-93.6909823629551,37.1278530594472,substation,,,,,,SRID=4326;POINT(-93.6909823629551 37.1278530594472)
21161,-108.890459106667,25.8363248738283,joint,230000,60,,,,SRID=4326;POINT(-108.890459106667 25.8363248738283)
2537,-87.5106238291508,41.6588849424654,station,,,Sheffield Substation,,,SRID=4326;POINT(-87.5106238291508 41.6588849424654)
12318,-84.9659989692615,42.2554668242204,station,,,,,,SRID=4326;POINT(-84.9659989692615 42.2554668242204)
